Reset,n_reset,<input>,id_reset_button,button,Reset,.//*[@id='id_reset_button'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[5]/table/tbody/tr/td[1]/input,return FormClear()
Submit,n_submit,<input>,id_submit_button,button,Submit,.//*[@id='id_submit_button'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[5]/table/tbody/tr/td[2]/input,
today?s day,-,<td>,timestamp,footer_l,-,.//*[@id='timestamp'],html/body/form/table/tbody/tr[4]/td/table/tbody/tr/td[1],
copyright,-,<td>,copyright,footer_c,-,.//*[@id='copyright'],html/body/form/table/tbody/tr[4]/td/table/tbody/tr/td[2],
Client?s OS & Browser,-,<td>,os_browser,footer_r,-,.//*[@id='os_browser'],html/body/form/table/tbody/tr[4]/td/table/tbody/tr/td[3],
FirstÿName,-,<span>,id_f_label_fn,f_label,FirstÿName,.//*[@id='id_f_label_fn'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/span,
LastÿName,-,<span>,id_f_label_ln,f_label,LastÿName,.//*[@id='id_f_label_ln'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[5]/span,
EmailÿAddress,-,<span>,id_f_label_ea,f_label,EmailÿAddress,.//*[@id='id_f_label_ea'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[2]/span,
PhoneÿNumber,-,<span>,id_f_label_pn,f_label,PhoneÿNumber,.//*[@id='id_f_label_pn'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[5]/span,
Gender,-,<span>,id_f_label_g,f_label,Gender,.//*[@id='id_f_label_g'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[2]/table/tbody/tr/td[1]/table[1]/tbody/tr/td/span,
State,-,<span>,id_f_label_s,f_label,State,.//*[@id='id_f_label_s'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[5]/span,
Agreement on Terms,-,<span>,id_cb_label,f_label,Iÿagree to the Terms,.//*[@id='id_cb_label'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[2]/span,
Conformation page title,-,<span>,id_f_title,f_title,Confirmation,.//*[@id='id_f_title'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[1]/td[2]/span,
First Name,-,<span>,id_fname_conf,info,-,.//*[@id='id_fname_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/table/tbody/tr[2]/td/span,
Last Name,-,<span>,id_lname_conf,info,-,.//*[@id='id_lname_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[5]/table/tbody/tr[2]/td/span,
Email Address,-,<span>,id_email_conf,info,-,.//*[@id='id_email_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[2]/table/tbody/tr[2]/td/span,
Phone Number,-,<span>,id_phone_conf,info,-,.//*[@id='id_phone_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[5]/table/tbody/tr[2]/td/span,
Gender,-,<span>,id_gender_conf,info,-,.//*[@id='id_gender_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[2]/table/tbody/tr[2]/td/span,
State,-,<span>,id_state_conf,info,-,.//*[@id='id_state_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[5]/table/tbody/tr[2]/td/span,
Agreement on Terms,-,<span>,id_terms_conf,info,-,.//*[@id='id_terms_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[2]/table/tbody/tr[2]/td/span,
Back - redirect to main page ,back,<input>,id_back_button,button,""" Back """,.//*[@id='id_back_button'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[5]/table/tbody/tr/td[1]/input,location.href='./index.php'
FirstÿName,-,<span>,id_f_label_fn_conf,f_label,FirstÿName,.//*[@id='id_f_label_fn_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/table/tbody/tr[1]/td/span,
LastÿName,-,<span>,id_f_label_ln_conf,f_label,LastÿName,.//*[@id='id_f_label_ln_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[5]/table/tbody/tr[1]/td/span,
EmailÿAddress,-,<span>,id_f_label_email_conf,f_label,EmailÿAddress,.//*[@id='id_f_label_email_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[2]/table/tbody/tr[1]/td/span,
PhoneÿNumber,-,<span>,id_f_label_phone_conf,f_label,PhoneÿNumber,.//*[@id='id_f_label_phone_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[5]/table/tbody/tr[1]/td/span,
Gender,-,<span>,id_f_label_gender_conf,f_label,Gender,.//*[@id='id_f_label_gender_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[2]/table/tbody/tr[1]/td/span,
State,-,<span>,id_f_label_state_conf,f_label,State,.//*[@id='id_f_label_state_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[5]/table/tbody/tr[1]/td/span,
Terms?,-,<span>,id_f_label_terms_conf,f_label,Terms?,.//*[@id='id_f_label_terms_conf'],html/body/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[2]/table/tbody/tr[1]/td/span,
today?s day,-,<td>,timestamp,footer_l,-,.//*[@id='timestamp'],html/body/table/tbody/tr[4]/td/table/tbody/tr/td[1],
copyright,-,<td>,copyright,footer_c,-,.//*[@id='copyright'],html/body/table/tbody/tr[4]/td/table/tbody/tr/td[2],
Client?s OS & Browser,-,<td>,os_browser,footer_r,-,.//*[@id='os_browser'],html/body/table/tbody/tr[4]/td/table/tbody/tr/td[3],
quotes,-,<td>,-,-,-,-,html/body/table/tbody/tr[2]/td,
